timestamp,ax,ay,az,gx,gy,gz
0,-0.274048,0.829224,0.365112,-1.098633,-10.253905,-4.150391
3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
19,-0.269287,0.839844,0.349976,0.366211,-6.896972,-0.915527
29,-0.265991,0.879150,0.295044,0.488281,-6.713867,-0.549316
39,-0.262695,0.894897,0.277832,0.305176,-7.507324,-0.854492
50,-0.263794,0.860718,0.347412,-0.610352,-7.873535,-1.037598
60,-0.266479,0.851318,0.355957,-1.770019,-7.080078,-0.610352
70,-0.265015,0.856812,0.314087,-2.319336,-5.615234,0.244141
82,-0.259888,0.870728,0.241821,-2.014160,-4.699707,1.159668
92,-0.256226,0.883301,0.190796,1.220703,-8.056641,2.197266
102,-0.255615,0.893433,0.207031,2.929687,-10.986327,2.319336
112,-0.255005,0.904053,0.284790,3.540039,-12.329101,2.319336
123,-0.254272,0.913818,0.367188,3.112793,-11.352538,2.075195
133,-0.254517,0.921509,0.399780,2.197266,-8.972168,1.647949
144,-0.253418,0.926270,0.322266,1.586914,-6.835937,1.037598
154,-0.253662,0.915649,0.279175,1.831055,-5.859375,0.305176
165,-0.253052,0.892822,0.255859,2.807617,-6.103515,-0.305176
175,-0.250854,0.857056,0.249146,3.845215,-7.019042,-0.549316
185,-0.249390,0.818115,0.257568,4.638672,-9.155273,1.342773
196,-0.249023,0.798706,0.267334,4.089355,-9.887695,3.417969
199,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
206,0.000000,0.000000,0.000000,4.028320,-10.559081,5.493164
216,-0.249634,0.840332,0.271484,4.760742,-11.169433,6.958007
227,-0.251831,0.871338,0.283813,5.493164,-11.657714,7.690429
237,-0.247070,0.894897,0.297607,5.432128,-11.718749,7.812500
244,-0.243164,0.892212,0.273071,0.000000,0.000000,0.000000
247,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
258,-0.240479,0.891602,0.242798,3.723144,-12.145995,7.812500
268,-0.237671,0.893921,0.220459,3.295898,-13.244628,7.934570
278,-0.234253,0.893677,0.209961,3.417969,-15.014647,8.056641
288,-0.231323,0.891846,0.217896,4.089355,-19.226074,8.422852
299,-0.230591,0.893433,0.253418,4.333496,-20.751951,8.728027
310,-0.231812,0.903687,0.314941,4.638672,-21.057127,8.972168
320,-0.232666,0.921265,0.375610,5.004883,-19.775391,8.850098
330,-0.225952,0.950806,0.359375,5.676269,-17.456055,8.361816
340,-0.222778,0.963135,0.297852,6.286621,-15.624999,7.507324
351,-0.219360,0.983276,0.245728,6.469726,-15.319823,6.469726
361,-0.213501,1.003052,0.218872,5.676269,-16.479492,4.943848
372,-0.208862,1.004639,0.213745,3.845215,-18.432617,2.929687
382,-0.207031,0.980713,0.221680,-0.183105,-22.460936,-1.403808
392,-0.206909,0.939453,0.248779,-0.183105,-23.925779,-2.441406
403,-0.209473,0.901245,0.301147,1.464844,-24.353025,-2.319336
413,-0.211182,0.888916,0.354492,3.601074,-23.376463,-1.403808
424,-0.210083,0.948364,0.341431,5.004883,-21.606443,-0.732422
434,-0.207764,0.986572,0.291382,5.126953,-20.263670,-0.976562
445,-0.203979,1.005127,0.246704,4.028320,-20.141600,-2.380371
455,-0.201294,0.994141,0.225952,2.075195,-21.240232,-4.638672
465,-0.201172,0.958740,0.237305,0.000000,-23.132322,-7.019042
