timestamp,ax,ay,az,gx,gy,gz
0,-0.573486,0.289185,0.778809,1.770019,-2.441406,-2.197266
10,-0.572998,0.274658,0.777344,1.464844,-2.014160,-4.150391
20,-0.573120,0.246216,0.776611,2.014160,-1.953125,-4.394531
31,-0.573608,0.222290,0.782959,2.868652,-1.770019,-3.967285
42,-0.574219,0.216797,0.789795,3.601074,-1.403808,-3.295898
52,-0.577271,0.261963,0.789429,3.723144,-0.976562,-2.868652
63,-0.578857,0.289185,0.781738,3.540039,-0.610352,-3.112793
73,-0.579590,0.296387,0.770996,3.417969,-0.427246,-4.150391
83,-0.577393,0.277954,0.760254,3.234863,-0.549316,-5.554199
94,-0.573730,0.240967,0.755249,2.258301,-1.464844,-7.385253
104,-0.570435,0.199463,0.763550,2.319336,-1.953125,-7.141113
114,-0.567749,0.165039,0.785767,2.746582,-2.136230,-6.103515
126,-0.565063,0.142578,0.813599,3.173828,-1.708984,-4.638672
136,-0.559082,0.131104,0.837646,3.051758,-0.671387,-2.807617
146,-0.558228,0.137451,0.812500,2.441406,0.732422,-0.976562
157,-0.558960,0.148193,0.769409,2.136230,1.892090,0.793457
167,-0.561157,0.165161,0.733765,2.563476,2.075195,2.380371
177,-0.565308,0.189575,0.727905,2.868652,0.183105,4.516602
188,-0.571167,0.216797,0.752808,1.708984,-0.610352,5.004883
199,-0.580078,0.242798,0.793213,0.488281,-0.427246,5.126953
209,-0.594482,0.274658,0.830444,-0.122070,0.854492,4.943848
220,-0.647949,0.390503,0.835083,0.671387,2.746582,4.394531
226,-0.686646,0.505737,0.804443,0.000000,0.000000,0.000000
229,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
240,-0.729980,0.702759,0.719116,9.582520,6.164550,0.732422
250,-0.775513,1.036255,0.541382,17.211914,6.042480,-3.906250
260,-0.806641,1.518433,0.354248,29.724119,1.953125,-13.366698
271,-0.801270,2.082886,0.283569,48.217770,-20.324705,-62.316891
282,-0.739014,2.593506,0.326050,35.827637,-33.203125,-106.933586
292,-0.605835,2.819336,0.380615,7.690429,-44.616695,-161.926254
303,-0.410034,2.537720,0.388672,-28.747557,-54.992672,-217.285141
313,0.015747,0.598755,0.479248,-62.866207,-64.697266,-260.498047
323,0.133545,-0.581665,0.763306,-86.181633,-72.143555,-282.714844
334,0.161499,-1.740601,1.327637,-95.886223,-74.401855,-281.799316
344,0.132080,-2.922974,2.181641,-95.336906,-66.650391,-258.666992
355,0.114990,-3.861694,3.151733,-76.538086,4.821777,-137.695312
366,0.169434,-4.000000,3.746460,-58.471676,71.350098,-32.165527
376,0.335083,-4.000000,3.380493,-37.841797,137.634277,96.557610
386,0.610596,-4.000000,2.056641,-21.545408,177.429184,225.402817
397,1.116455,-2.571411,-0.392822,-15.319823,179.199203,326.477020
404,1.227173,-1.430542,-0.566528,0.000000,0.000000,0.000000
406,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
416,1.277344,-0.601685,-0.285522,-21.484373,119.323723,410.583466
427,1.317627,-0.228027,-0.053589,-35.888672,92.590324,415.649384
438,1.376465,-0.216064,-0.156372,-57.800289,74.584961,414.855927
448,1.459961,-0.381958,-0.482178,-89.416496,31.738279,426.940887
458,1.549561,-0.498413,-0.652466,-85.998528,-1.403808,445.617645
469,1.603760,-0.291748,-0.352539,-63.720699,-31.494139,468.872040
479,1.592896,0.383301,0.339722,-24.963377,-44.616695,486.694305
489,1.237549,2.720581,1.280151,17.578125,-35.400391,487.243622
500,0.895142,3.759277,0.946289,51.025387,-10.742187,462.219208
511,0.481079,3.999878,0.119751,64.880371,13.488769,408.752411
521,0.070068,3.999878,-0.843628,54.870602,20.263670,328.063934
531,-0.225586,3.999878,-1.532715,-4.577637,-42.846676,109.374992
542,-0.318359,3.975342,-1.652588,-31.799314,-96.008293,-3.112793
552,-0.216309,3.945435,-1.128662,-51.147457,-141.174316,-96.008293
562,-0.024292,3.722778,-0.249756,-59.448238,-165.344223,-160.705551
573,0.241211,2.725708,0.824829,-52.673336,-168.334946,-200.744614
584,0.309937,2.631958,0.864502,-33.996582,-160.461426,-226.562485
594,0.425781,2.987671,0.713867,-10.192870,-151.123047,-250.305161
605,0.643799,3.498169,0.430908,10.437011,-145.996094,-282.897949
615,0.985718,3.693359,0.162109,17.944336,-148.925781,-330.261200
625,1.410767,3.377563,0.081299,1.403808,-178.039536,-447.143524
635,1.831787,2.677002,0.250244,-10.864257,-193.786606,-495.788544
646,2.163940,1.787476,0.587402,-24.169920,-202.270493,-528.625488
657,2.353760,0.872681,0.942993,-37.170410,-201.354965,-543.762207
667,2.276489,-0.650391,1.362183,-44.311520,-193.176254,-542.358398
678,2.072510,-1.266479,1.573120,-41.015621,-181.396469,-527.465820
688,1.803711,-1.835571,1.891357,-28.930662,-167.236313,-501.098602
698,1.497559,-2.362671,2.272095,-11.474608,-148.742676,-464.172333
709,1.173462,-2.812866,2.594238,37.353516,-91.003410,-359.558075
719,0.850342,-3.116821,2.738892,60.791012,-54.931637,-295.104980
