timestamp,ax,ay,az,gx,gy,gz
0,-0.753662,-0.177734,1.223022,16.662598,41.198727,-7.690429
11,-0.763306,-0.217285,1.229370,15.930175,45.166012,-7.202148
21,-0.755737,-0.281250,1.221191,13.854980,49.072262,-6.469726
31,-0.731812,-0.316772,1.220825,11.108397,53.100582,-5.676269
41,-0.697998,-0.364014,1.209473,8.911133,57.495113,-4.638672
51,-0.660522,-0.422485,1.168823,7.507324,62.316891,-3.234863
61,-0.630005,-0.479370,1.101929,4.333496,70.800781,2.258301
72,-0.609253,-0.524170,1.031616,1.647949,73.608398,5.981445
82,-0.587036,-0.560303,0.970337,-2.563476,75.683594,10.009766
92,-0.554199,-0.596313,0.917725,-7.995605,77.575684,14.526366
103,-0.458984,-0.679321,0.789062,-13.183593,79.467773,19.592285
113,-0.404663,-0.740479,0.692627,-17.578125,81.115715,25.512693
123,-0.351318,-0.819824,0.582642,-21.606443,81.848137,32.653809
133,-0.297119,-0.898804,0.472046,-25.207518,81.298820,41.687008
143,-0.241943,-0.949585,0.365234,-28.320311,75.439453,66.284180
153,-0.186523,-0.954224,0.255615,-28.991697,70.068359,80.566399
164,-0.133179,-0.921997,0.146240,-29.357908,62.744137,94.909660
174,-0.084106,-0.870728,0.058105,-27.954100,53.527828,108.825676
184,0.006958,-0.709229,0.002686,-24.658201,43.273922,122.192375
195,0.049927,-0.587402,0.007202,-20.385740,33.142090,134.338379
205,0.092407,-0.447632,0.001343,-17.883301,23.681639,144.775391
214,0.136475,-0.308105,-0.016846,-19.226074,14.404296,152.893066
225,0.181274,-0.169922,-0.027588,-31.188963,-5.920410,162.780746
235,0.222534,-0.026489,-0.008179,-39.733887,-16.479492,164.611801
245,0.256104,0.115234,0.022705,-51.147457,-26.245115,163.879379
256,0.278076,0.229004,0.018188,-65.246582,-35.644531,161.010727
266,0.283569,0.332397,-0.163818,-78.918457,-46.203609,156.738281
276,0.286133,0.342651,-0.320801,-89.782707,-59.631344,151.977539
286,0.301758,0.327881,-0.457031,-94.848625,-77.758789,147.399902
296,0.328003,0.285767,-0.466919,-90.881340,-101.257317,143.676758
306,0.359009,0.235229,-0.265747,-61.279293,-154.541016,142.456055
317,0.382568,0.204712,0.141357,-41.503902,-174.011215,145.507812
327,0.378052,0.217163,0.679321,-25.268553,-182.373032,150.390625
337,0.338989,0.288574,1.236084,-19.287109,-177.612289,155.517578
348,0.204102,0.543457,1.817261,-25.512693,-161.376938,159.362793
358,0.134033,0.710815,1.665283,-38.269043,-139.343262,161.071762
368,0.077393,0.930664,1.290161,-49.072262,-119.445793,159.912109
378,0.034912,1.170898,0.859863,-53.527828,-108.581535,154.296875
388,0.003174,1.391479,0.552124,-39.550781,-120.727531,126.586906
398,-0.022583,1.585815,0.463135,-31.188963,-135.925293,105.590813
409,-0.037354,1.715942,0.558228,-28.808592,-149.475098,81.054680
419,-0.040649,1.741699,0.709595,-32.958984,-159.179687,54.992672
429,-0.041870,1.694336,0.837646,-43.579098,-165.893539,29.052732
440,-0.026855,1.404663,1.037842,-54.504391,-170.532211,3.845215
450,-0.006592,1.098267,1.118042,-61.096188,-173.339828,-19.042969
459,0.011963,0.742554,1.168091,-60.913082,-174.316391,-36.254883
470,0.020020,0.485596,1.204956,-51.696774,-174.438461,-44.799801
480,0.020874,0.466919,1.279175,-7.141113,-175.476059,-41.137691
490,0.019775,0.714478,1.417358,11.413573,-174.682602,-40.283199
501,0.014771,1.120361,1.588135,13.427733,-170.593246,-48.156734
511,0.008545,1.512329,1.732300,-1.281738,-162.353500,-67.138672
521,0.026611,1.708740,1.845459,-25.634764,-150.939941,-95.153801
532,0.052734,1.400391,1.831909,-50.170895,-137.573242,-126.708977
541,0.067627,0.923462,1.753052,-66.162109,-123.352043,-154.296875
551,0.055298,0.444580,1.627441,-68.054199,-110.290520,-172.058090
562,0.018921,0.103394,1.526733,-27.954100,-95.275871,-174.499496
572,-0.021973,-0.026855,1.508057,6.469726,-93.078606,-165.771469
582,-0.051880,0.044067,1.595947,42.846676,-91.857903,-157.470703
593,-0.070435,0.247070,1.790283,74.645996,-88.500969,-153.747559
603,-0.118164,0.631714,2.330200,98.937981,-80.383293,-156.677246
613,-0.140503,0.638794,2.514526,114.196770,-66.528320,-165.405258
623,-0.149902,0.490479,2.595581,115.783684,-47.912594,-176.696762
633,-0.153320,0.222534,2.576294,99.731438,-26.184080,-186.279282
643,-0.153320,-0.106201,2.451294,41.992184,19.531250,-187.622055
654,-0.150879,-0.419312,2.232422,20.080564,38.269043,-176.574692
664,-0.151367,-0.635254,1.971680,11.108397,50.964352,-159.179687
675,-0.156738,-0.685913,1.763062,16.235352,57.006832,-139.465332
685,-0.136841,-0.250000,1.836182,32.775879,59.082027,-122.985832
695,-0.101440,0.050781,2.082520,57.006832,61.767574,-114.379875
705,-0.048706,0.237549,2.349976,81.115715,69.091797,-115.356438
715,0.018188,0.244751,2.507446,91.003410,83.374016,-123.229973
725,0.081421,0.076294,2.465210,49.316402,126.770012,-138.916016
735,0.136841,-0.185181,2.227661,17.639160,146.667480,-138.061523
746,0.182861,-0.425049,1.877441,-3.601074,159.179687,-130.126953
756,0.208496,-0.560547,1.553589,-12.573241,163.085922,-117.675774
766,0.229126,-0.464966,1.472046,-13.183593,161.865219,-104.553215
777,0.256226,-0.344849,1.669067,-9.277344,161.926254,-94.360344
786,0.302490,-0.281250,1.817139,-5.554199,168.640121,-88.439934
796,0.358765,-0.299194,1.787354,-5.676269,182.800278,-85.449211
807,0.413940,-0.394531,1.583130,-22.338865,217.102036,-78.857422
817,0.462280,-0.537354,1.301880,-39.245605,229.370102,-70.861816
827,0.496582,-0.687500,1.003662,-57.678219,237.487778,-58.227535
838,0.510376,-0.818237,0.669189,-74.584961,241.577133,-41.442867
848,0.463867,-0.957275,-0.189209,-93.200676,240.356430,-21.179197
859,0.382080,-0.984497,-0.688721,-109.252922,231.079086,1.220703
868,0.283203,-0.998291,-1.136597,-111.145012,210.571274,24.475096
878,0.191772,-0.984619,-1.439209,-97.473137,178.100571,47.607418
888,0.115112,-0.911377,-1.568970,-56.030270,90.576164,93.078606
899,0.056519,-0.748901,-1.521606,-42.541500,43.884274,114.074699
909,0.024170,-0.485840,-1.264404,-39.184570,1.037598,131.896973
920,0.018311,-0.130005,-0.804932,-43.334957,-32.897949,144.104004
930,0.025391,0.653564,0.298828,-47.546383,-54.565426,148.498535
936,0.005737,0.975586,0.776978,0.000000,0.000000,0.000000
939,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
950,-0.028198,1.234009,1.166016,-41.564938,-61.401363,133.850098
959,-0.071045,1.420044,1.433105,-35.522461,-50.354000,117.736809
969,-0.118164,1.510620,1.542603,-28.686522,-32.958984,97.961418
980,-0.164062,1.500610,1.493530,-14.160155,6.774902,55.603024
990,-0.203247,1.417114,1.312134,-10.986327,22.216795,37.414551
1000,-0.232544,1.299438,1.045654,-14.282226,31.616209,22.583006
