timestamp,ax,ay,az,gx,gy,gz
0,-0.615601,0.473022,0.213623,-4.150391,-1.342773,2.502441
10,-0.597900,0.469116,0.167969,-3.479004,-1.281738,4.333496
20,-0.577515,0.456421,0.088623,-3.295898,-1.647949,6.347656
30,-0.553711,0.436035,-0.003296,-3.479004,-3.356933,8.666992
41,-0.519043,0.416626,-0.081543,-4.028320,-12.023925,15.258788
51,-0.468140,0.400513,-0.136841,-4.638672,-17.822266,19.531250
61,-0.401978,0.379761,-0.203857,-6.408691,-23.986814,24.536131
72,-0.315796,0.343628,-0.328125,-8.666992,-31.616209,30.700682
82,-0.057007,0.192261,-0.835205,-9.704590,-42.297359,38.513184
92,0.086182,0.039307,-1.322754,-8.300781,-58.532711,48.706051
102,0.247314,-0.213989,-1.990601,-4.699707,-84.594719,62.255856
113,0.449219,-0.535889,-2.614136,0.671387,-126.037590,80.871574
123,0.704956,-0.904419,-2.760864,28.930662,-252.746567,141.174316
133,1.020142,-1.237671,-2.186890,54.382320,-313.110352,187.438950
144,1.360107,-1.218872,-1.082153,67.871094,-350.097626,240.722641
154,1.622925,-0.614502,0.078491,61.889645,-358.642548,285.095215
164,1.716919,0.340088,0.861816,49.499508,-345.947235,305.175781
175,1.449463,1.390991,1.200073,44.189449,-324.401825,300.598145
185,1.237793,1.284302,1.171143,46.386715,-303.344727,284.973145
195,1.045654,1.247803,1.212402,48.889156,-285.705566,272.338867
205,0.872192,1.572266,1.351563,46.447750,-270.446777,265.441895
216,0.711304,2.189819,1.594360,20.019531,-236.999496,233.520493
226,0.557129,2.793457,1.838501,1.098633,-214.355453,195.190414
237,0.423218,3.085327,1.919434,-16.418457,-189.758286,146.118164
247,0.325562,2.908081,1.780884,-29.357908,-168.395981,97.473137
258,0.260864,1.798828,1.318848,-37.963867,-153.381348,60.241695
264,0.268677,1.399780,1.165771,0.000000,0.000000,0.000000
267,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
278,0.277344,1.143433,1.132080,-42.419430,-139.099121,26.000975
288,0.273315,0.964600,1.239258,-39.306641,-135.192871,20.568846
298,0.237671,0.799316,1.380981,-35.095215,-128.784180,19.165039
308,0.188965,0.648071,1.472412,-27.038572,-104.370110,27.770994
319,0.150513,0.600342,1.514648,-24.169920,-89.172356,36.621094
321,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
328,0.000000,0.000000,0.000000,-22.155760,-73.730469,44.189449
338,0.123535,0.969116,1.439697,-20.996092,-59.326168,46.874996
349,0.124512,1.238281,1.302124,-20.446775,-47.790524,43.334957
359,0.133667,1.555786,1.078735,-19.714355,-39.367676,34.423828
369,0.139648,1.562500,1.026733,-17.517090,-33.020020,22.277830
380,0.143555,1.489502,1.013428,-12.145995,-27.709959,9.521484
390,0.148315,1.412842,1.081665,-3.784179,-22.827147,-1.403808
400,0.157715,1.402710,1.237671,13.732909,-7.751464,-16.601562
410,0.171753,1.481689,1.430908,19.165039,5.676269,-23.925779
421,0.187866,1.643677,1.639526,21.728514,23.803709,-33.203125
431,0.200928,1.925903,1.843384,20.263670,46.630856,-45.898434
441,0.248291,3.133789,2.016113,12.329101,72.631836,-65.490723
452,0.334106,3.812500,1.965698,-4.089355,99.609367,-96.984856
462,0.534912,3.999878,1.858765,-29.174803,125.732414,-145.202637
472,0.979248,3.999878,1.600220,-61.889645,151.000977,-216.491684
483,1.724976,3.999878,1.044556,-131.408691,192.382797,-438.415497
493,2.675781,3.985352,0.271362,-149.353027,198.303207,-564.453125
503,3.563599,3.677002,-0.320068,-151.245117,193.237289,-664.184509
514,3.999878,2.502441,-0.514038,-138.977051,184.020981,-714.233337
524,3.636841,-1.483765,-0.584229,-111.511223,173.400864,-711.425720
534,2.799072,-3.194458,-0.509644,-73.669434,157.836914,-664.733826
545,1.763062,-4.000000,-0.213745,-39.733887,137.512207,-582.519531
555,0.816406,-4.000000,0.046265,-21.911619,120.117180,-471.740692
565,0.156250,-3.975586,-0.033325,-20.141600,110.290520,-342.163055
576,-0.173828,-3.024780,-0.315186,-21.789549,86.486809,-120.788567
586,-0.270752,-1.611938,-0.470947,-17.395020,65.307617,-73.120117
596,-0.281494,-0.450073,-0.365112,-18.005371,44.799801,-62.683102
607,-0.296753,0.034180,-0.070557,-22.216795,30.761717,-68.237305
617,-0.369141,-0.423950,0.475464,-24.169920,25.085447,-71.716309
627,-0.396118,-0.667114,0.576782,-20.568846,25.695799,-65.002441
638,-0.406982,-0.684326,0.580200,-11.901855,29.296873,-49.560543
648,-0.405762,-0.558960,0.509399,-0.549316,33.264160,-31.494139
658,-0.403687,-0.434937,0.382202,14.099120,35.156250,-2.807617
668,-0.407715,-0.392700,0.227051,12.207030,30.761717,8.117676
679,-0.416870,-0.420410,0.094360,5.187988,22.949217,19.470215
689,-0.427612,-0.471191,0.035034,-3.173828,13.122558,32.287598
700,-0.442505,-0.483398,0.154053,-9.643555,3.479004,46.508785
711,-0.443970,-0.390137,0.286743,-13.488769,-4.333496,61.279293
721,-0.442749,-0.239868,0.429321,-15.197753,-9.399414,75.073242
731,-0.440918,-0.076538,0.544189,-15.563964,-11.352538,86.120598
742,-0.440308,0.051270,0.594727,-16.357422,-8.178711,98.876945
752,-0.440796,0.122070,0.581055,-17.700195,-6.164550,102.539055
762,-0.441772,0.139648,0.542358,-19.165039,-5.371093,106.323235
773,-0.442627,0.124756,0.516724,-20.690916,-5.798339,111.145012
783,-0.440552,0.121704,0.522583,-22.216795,-6.713867,117.370598
793,-0.439697,0.195923,0.505981,-22.460936,-7.690429,124.694817
804,-0.437622,0.330933,0.433105,-20.263670,-8.728027,131.835937
814,-0.446899,0.521118,0.336304,-14.831542,-11.047362,137.084961
824,-0.463989,0.747192,0.314819,0.732422,-22.094725,135.620117
835,-0.479126,0.948730,0.418579,6.408691,-26.977537,127.380363
845,-0.497803,1.067627,0.596313,8.239746,-28.076170,115.661613
