timestamp,ax,ay,az,gx,gy,gz
0,-0.264282,0.830200,0.771606,-59.692379,-40.283199,-11.474608
10,-0.233032,0.736328,0.609009,-59.204098,-36.682129,-16.235352
22,-0.186768,0.618408,0.467285,-50.964352,-37.658691,-19.042969
32,-0.153198,0.441528,0.404541,-20.568846,-51.818844,-14.587401
42,-0.141479,0.181885,0.496582,-11.047362,-60.607906,-4.211426
54,-0.140625,-0.099121,0.764282,-9.033203,-65.002441,13.183593
64,-0.141113,-0.325195,1.132690,-8.972168,-61.279293,36.865234
75,-0.113403,-0.281006,1.726440,-5.371093,-48.034664,64.575195
81,-0.065796,0.097778,1.704102,0.000000,0.000000,0.000000
85,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
95,-0.012451,0.544800,1.436035,7.690429,-4.455566,110.961906
106,0.024292,0.867432,1.101318,9.948730,12.817382,119.384758
116,0.041748,1.015991,0.898437,8.178711,20.996092,118.408195
127,0.053711,1.038330,0.865479,-1.953125,21.911619,105.529778
138,0.052612,1.000244,0.903687,-12.451171,22.705076,99.243156
141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
147,0.000000,0.000000,0.000000,-20.568846,24.780272,94.543449
160,0.011597,1.014771,0.951050,-18.737793,27.282713,90.820305
171,0.019165,1.058838,0.985596,-7.141113,30.639647,87.524406
182,0.018677,1.098022,0.977173,10.803222,35.400391,84.960930
192,-0.006958,1.190186,0.952026,34.240723,40.588375,84.106438
203,-0.054443,1.426025,1.002075,97.534172,49.987789,84.899895
213,-0.110474,1.879761,1.139648,129.821777,57.678219,79.895020
225,-0.155884,2.586914,1.262207,155.273437,68.420410,63.110348
235,-0.170166,3.438354,1.265259,169.738754,79.040527,27.587889
245,-0.106812,3.999878,1.099854,171.081528,84.045403,-31.799314
256,0.279785,3.999878,0.535767,162.231430,78.857422,-115.234367
267,0.613037,3.999878,0.518188,150.329590,63.171383,-215.332016
277,1.024170,3.932861,0.798828,141.174316,42.785641,-317.687988
288,1.461670,3.612793,1.241821,132.995605,26.672361,-405.273407
298,1.846558,2.857788,1.640869,107.238762,28.198240,-508.422821
309,2.103638,1.891846,1.763794,91.003410,42.724606,-529.357910
320,2.222656,0.999756,1.547363,74.523926,56.640621,-535.644531
330,2.215332,0.261353,1.137085,60.974117,63.537594,-530.090332
342,1.851929,-1.063599,0.644287,55.236813,62.927242,-513.183594
348,1.534668,-1.673218,0.708130,0.000000,0.000000,0.000000
351,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
361,1.178101,-2.173950,0.874634,71.655273,56.579586,-442.748993
373,0.846436,-2.531494,0.976562,75.988770,59.753414,-391.296356
383,0.547729,-2.702148,0.849243,69.946289,68.847656,-332.153290
393,0.287842,-2.646729,0.496582,47.302242,84.777824,-204.711899
405,0.098145,-2.369751,0.081177,41.625973,81.420891,-146.423340
415,-0.023682,-1.886353,-0.222778,41.381832,70.495605,-99.182121
425,-0.097900,-1.276611,-0.328857,43.029781,56.579586,-67.260742
437,-0.182861,-0.396729,-0.268433,42.541500,43.762203,-50.476070
443,-0.218872,-0.301147,-0.274658,0.000000,0.000000,0.000000
446,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
458,-0.255859,-0.373413,-0.325073,32.409668,22.521971,-40.893551
468,-0.295166,-0.510132,-0.391479,25.756834,11.657714,-36.499023
478,-0.334839,-0.618286,-0.416992,18.920898,-0.854492,-28.198240
489,-0.369873,-0.644775,-0.362793,5.004883,-27.282713,-2.746582
500,-0.397705,-0.590210,-0.264404,-0.793457,-37.902832,10.437011
510,-0.417847,-0.494141,-0.184814,-4.943848,-46.142574,21.850584
521,-0.426880,-0.407593,-0.151855,-6.042480,-53.100582,31.433104
532,-0.417480,-0.400146,-0.199585,-3.540039,-60.546871,40.527340
542,-0.406494,-0.436890,-0.161255,1.892090,-69.641113,51.147457
553,-0.391479,-0.398193,-0.011108,7.690429,-79.650879,64.758301
564,-0.366699,-0.230835,0.213989,10.681151,-87.768547,80.688469
575,-0.326294,0.030029,0.366577,8.178711,-86.364738,107.910149
585,-0.268066,0.291748,0.258789,12.207030,-78.796387,115.661613
595,-0.180786,0.467163,-0.211182,28.320311,-74.890137,121.337883
607,-0.051514,0.530884,-0.989624,57.006832,-82.458488,128.173828
617,0.313110,0.570557,-2.739868,88.562004,-106.811516,138.366699
627,0.596680,0.632812,-3.395508,109.619133,-149.353027,151.062012
639,1.002930,0.784546,-3.843384,117.614738,-208.129868,164.428696
649,1.503418,1.123901,-4.000000,119.201653,-280.456543,176.757797
659,2.071167,1.466431,-4.000000,114.624016,-365.722626,183.227524
670,2.665771,1.480103,-3.539185,79.345703,-556.335449,170.349106
681,3.187378,1.153809,-2.317749,59.143063,-634.277344,165.405258
692,3.516968,0.756470,-0.402832,47.912594,-678.466736,171.203598
702,3.505493,0.705322,1.943970,52.001949,-674.438416,185.180649
713,2.229370,2.399536,3.999878,63.903805,-610.595703,193.786606
724,1.337646,3.476440,3.999878,67.016602,-489.135712,180.114731
734,0.656616,3.995117,3.999878,54.931637,-335.632294,136.718750
745,0.296509,3.620605,3.804199,36.193848,-191.833481,71.899414
756,0.184570,2.597168,3.122803,7.873535,-51.818844,-37.231445
766,0.185913,1.606323,2.065796,-7.446289,-54.199215,-56.701656
777,0.185425,1.054443,1.458984,-27.709959,-72.814941,-61.889645
788,0.129639,0.816162,1.677246,-49.133297,-81.054680,-62.988277
798,-0.066528,0.429565,2.603149,-64.575195,-67.687988,-62.988277
809,-0.144653,0.239014,2.488647,-68.847656,-38.879395,-60.485836
820,-0.182495,0.116455,2.087769,-63.354488,-7.690429,-54.260250
830,-0.191650,0.093628,1.663940,-53.527828,16.296387,-44.982906
842,-0.185913,0.168213,1.379395,-42.480465,36.621094,-25.878904
852,-0.179443,0.282715,1.295288,-42.968746,39.428711,-19.836426
862,-0.180664,0.384277,1.396240,-41.381832,43.457027,-16.357422
874,-0.187500,0.465088,1.584839,-37.536621,51.696774,-14.770507
884,-0.132690,0.548462,1.781006,-35.034180,64.270020,-14.404296
894,-0.056519,0.568115,1.744263,-35.034180,79.345703,-14.526366
905,0.037476,0.588013,1.682495,-35.827637,95.031731,-15.075683
916,0.114258,0.586304,1.648682,-36.437988,110.351555,-16.235352
926,0.139893,0.566040,1.589966,-36.071777,125.610344,-17.639160
937,0.156128,0.544189,1.473267,-25.878904,153.930664,-20.080564
947,0.185425,0.515137,1.346436,-22.583006,164.978012,-20.751951
958,0.210327,0.472656,1.237427,-26.367186,174.255356,-20.141600
969,0.221924,0.430664,1.106323,-34.973145,181.823715,-17.944336
979,0.216064,0.396362,0.664185,-41.870113,186.279282,-14.709472
986,0.184326,0.352051,0.416016,0.000000,0.000000,0.000000
989,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1000,0.133179,0.266113,0.180298,-40.283199,181.335434,-6.896972
