timestamp,ax,ay,az,gx,gy,gz
0,-0.812500,-0.121826,0.517212,-1.525879,10.437011,3.540039
10,-0.811035,-0.115234,0.438843,-1.586914,9.155273,2.197266
20,-0.811157,-0.145020,0.427124,-1.037598,6.896972,1.159668
31,-0.810303,-0.163086,0.458984,0.244141,4.821777,0.549316
41,-0.807983,-0.187500,0.479614,1.892090,3.417969,0.366211
51,-0.807617,-0.206543,0.487915,3.662109,2.624511,0.732422
62,-0.810425,-0.195801,0.504395,4.150391,1.281738,2.685547
72,-0.813843,-0.157349,0.530273,2.868652,0.976562,2.746582
82,-0.816650,-0.124512,0.545776,2.380371,0.976562,1.831055
93,-0.817871,-0.124023,0.554077,2.990722,1.037598,0.488281
103,-0.817017,-0.193481,0.599121,3.784179,1.403808,-0.366211
113,-0.817871,-0.212402,0.622803,3.356933,2.380371,-0.122070
124,-0.820068,-0.204468,0.620850,1.281738,4.150391,0.793457
134,-0.822632,-0.178101,0.584473,-0.793457,6.225585,1.770019
144,-0.825073,-0.149048,0.534424,-0.854492,8.483887,1.892090
155,-0.826538,-0.130981,0.496094,0.305176,7.995605,1.037598
165,-0.827271,-0.128906,0.476074,1.342773,6.958007,0.122070
175,-0.828003,-0.139160,0.476318,1.586914,5.859375,-0.610352
186,-0.828247,-0.152100,0.498047,0.793457,5.249023,-0.976562
196,-0.827271,-0.175293,0.536499,-0.549316,5.249023,-1.159668
206,-0.828979,-0.181519,0.541504,-1.098633,5.615234,-1.098633
217,-0.829468,-0.178223,0.545410,-0.427246,6.042480,-0.732422
227,-0.829102,-0.172607,0.537476,0.610352,6.652832,-0.427246
237,-0.832520,-0.169556,0.521851,1.525879,7.324218,-0.183105
248,-0.839111,-0.161255,0.516113,0.976562,7.141113,-0.305176
258,-0.845947,-0.152100,0.521851,0.488281,6.958007,-0.793457
268,-0.853149,-0.155029,0.537354,0.732422,6.958007,-1.403808
279,-0.873901,-0.167847,0.595947,1.342773,7.568359,-1.770019
289,-0.885742,-0.178589,0.608032,1.525879,8.911133,-2.075195
299,-0.897949,-0.207275,0.596069,1.403808,10.681151,-2.319336
310,-0.913086,-0.244751,0.583496,1.831055,12.207030,-2.197266
320,-0.934204,-0.275513,0.589966,6.286621,14.099120,0.488281
330,-0.964844,-0.295532,0.620117,9.460449,15.197753,2.624511
341,-1.005615,-0.306519,0.673584,12.695312,17.150879,4.943848
351,-1.049683,-0.319214,0.745361,15.808105,20.385740,7.385253
361,-1.117676,-0.367188,0.884277,19.409180,25.207518,10.375976
372,-1.137817,-0.349365,0.940063,23.864744,31.249998,14.404296
382,-1.143799,-0.281250,0.993164,28.869627,38.330078,18.737793
392,-1.132690,-0.167847,1.035400,32.836914,46.386715,22.216795
403,-1.104980,-0.025269,1.050171,30.151365,65.246582,21.911619
413,-1.061890,0.109985,1.021729,20.874022,75.561523,17.028809
423,-1.005493,0.189819,0.941284,7.812500,86.059563,9.887695
434,-0.937134,0.179199,0.788452,-5.615234,96.069328,2.502441
444,-0.789917,-0.095825,0.268433,-16.113281,104.614250,-2.441406
454,-0.712402,-0.235718,-0.039185,-24.230955,110.839836,-2.807617
465,-0.632935,-0.275513,-0.417480,-31.005857,114.868156,1.892090
475,-0.555542,-0.175781,-0.921143,-36.010742,116.149895,10.009766
485,-0.480103,0.063599,-1.556030,-44.433590,97.290031,23.925779
496,-0.405273,0.387207,-2.258545,-38.391113,68.603516,23.864744
499,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
505,0.000000,0.000000,0.000000,-15.869140,24.475096,16.967773
516,-0.236450,1.012451,-3.353027,21.240232,-33.020020,3.417969
526,-0.116699,1.181152,-3.463867,62.194820,-98.388664,-14.648437
536,0.244995,1.067993,-2.434692,94.909660,-161.987289,-33.691406
547,0.443604,0.885620,-1.643799,110.717766,-213.623032,-50.415035
557,0.623657,0.657959,-1.057617,108.520500,-248.107895,-63.476559
568,0.782227,0.432251,-0.794189,96.008293,-268.249512,-72.204590
578,0.932129,0.271362,-0.769165,83.374016,-295.043945,-75.378418
589,1.094849,0.202026,-0.854492,90.393059,-312.561035,-72.143555
599,1.293457,0.258789,-0.983765,98.266594,-336.059540,-68.969727
609,1.537964,0.455078,-1.151245,100.891106,-367.248505,-70.129395
620,2.135620,0.893311,-1.169922,93.749992,-407.104462,-79.284668
630,2.461914,0.796387,-0.704468,75.744629,-451.721161,-97.290031
640,2.728882,0.323853,0.032837,56.457516,-491.943329,-119.567863
651,2.866333,-0.434204,0.886719,51.696774,-519.348145,-136.047363
